name,rank,year,company.founded,company.name,company.relationship,company.sector,company.type,demographics.age,demographics.gender,location.citizenship,location.country code,location.gdp,location.region,wealth.type,wealth.worth in billions,wealth.how.category,wealth.how.from emerging,wealth.how.industry,wealth.how.inherited,wealth.how.was founder,wealth.how.was political
Charles Koch,6,2014,1940,Koch industries,relation,  Oil refining,new,78,male,United States,USA,0,North America,inherited,40,Financial,TRUE,Diversified financial,father,TRUE,TRUE
David Koch,6,2014,1940,Koch industries,relation, Oil refining,new,73,male,United States,USA,0,North America,inherited,40,Financial,TRUE,Diversified financial,father,TRUE,TRUE
Li Ka-shing,7,1996,1971,Cheung king,founder,real estate,new,67,male,Hong Kong,HKG,1.6E+11,East Asia,self-made finance,10.6,Financial,TRUE,Real Estate,not inherited,TRUE,TRUE
Jim Walton,7,2001,1962,Walmart,relation,retail, new,53,male,United States,USA,1.06E+13,North America,inherited,18.8,Non-Traded Sectors,TRUE,"Retail, Restaurant",father,TRUE,TRUE
Yoshiaki Tsutsumi,8,1996,1894,Seibu Corporation,relation,real estate,aquired,61,male,Japan,JPN,4.71E+12,East Asia,inherited,9.2,Financial,TRUE,Real Estate,father,TRUE,TRUE
John Walton,8,2001,1962,Walmart,relation, retail, new,55,male,United States,USA,1.06E+13,North America,inherited,18.7,Traded Sectors,TRUE,Consumer,father,TRUE,TRUE
Sheldon Adelson,8,2014,1952,Las Vegas Sands,founder, casinos, acquired,80,male,United States,USA,0,North America,self-made finance,38,Financial,TRUE,Real Estate,not inherited,TRUE,TRUE
Theo and Karl Albrecht,9,1996,1913,Aldi Nord,Relation,groceries,new,0,male,Germany,DEU,2.5E+12,Europe,inherited,9,Non-Traded Sectors,TRUE,"Retail, Restaurant",father,TRUE,TRUE
S Robson Walton,9,2001,1962,Walmart,relation,retail, new,57,male,United States,USA,1.06E+13,North America,inherited,18.6,Non-Traded Sectors,TRUE,"Retail, Restaurant",father,TRUE,TRUE
Christy Walton,9,2014,1962,Walmart,relation, retail, new,59,female,United States,USA,0,North America,inherited,36.7,Non-Traded Sectors,TRUE,"Retail, Restaurant",spouse/widow,TRUE,TRUE
Hans and Gad Rausing,10,1996,1951,Tetra Pak,relation,food packaging,new,0,male,Sweden,SWE,2.88E+11,Europe,inherited,9,Traded Sectors,TRUE,Consumer,father,TRUE,TRUE
Alice Walton,10,2001,1962,Walmart,relation,retail, new,52,female,United States,USA,1.06E+13,North America,inherited,18.5,Non-Traded Sectors,TRUE,"Retail, Restaurant",father,TRUE,TRUE
